Opp_ID,Account_Name,Industry,Region,Amount,Stage,Lead_Source,Sales_Notes,Created_Date
OPP-04019,Dixon and Sons,AI,APAC,108236,Closed Lost,Webinar,"Budget is approved, but they need an API integration for Python.",2025-05-18
OPP-04020,Shannon-Howell,SaaS,AMER,203028,Closed Won,G2 Review,"Highly motivated, looking to close by the end of Q3.",2025-05-07
OPP-04021,Thornton-Schneider,Retail,AMER,156213,Proposal,LinkedIn,"Highly motivated, looking to close by the end of Q3.",2026-02-23
OPP-04022,Bishop and Sons,SaaS,EMEA,94428,Qualification,G2 Review,"Budget is approved, but they need an API integration for Python.",2025-10-03
OPP-04023,"Hernandez, Cummings and Hopkins",HealthTech,AMER,121021,Closed Won,Cold Outbound,"Great call, but internal restructuring might delay the sign-off.",2025-10-26
OPP-04024,Lin Ltd,FinTech,AMER,184351,Negotiation,LinkedIn,Technical gap: missing multi-currency support in the dashboard.,2025-12-26
OPP-04025,Holland-Mcdonald,HealthTech,EMEA,133860,Qualification,Cold Outbound,Technical gap: missing multi-currency support in the dashboard.,2026-02-12
OPP-04026,Stewart-Clark,SaaS,APAC,73451,Closed Lost,Cold Outbound,"Budget is approved, but they need an API integration for Python.",2025-05-06
OPP-04027,"Baker, Murphy and Estrada",Retail,APAC,219687,Proposal,Partner,"Great call, but internal restructuring might delay the sign-off.",2025-09-19
OPP-04028,"Haas, Glover and Adams",FinTech,EMEA,227087,Negotiation,Partner,"Budget is approved, but they need an API integration for Python.",2025-10-29
OPP-04029,Davis-Miles,FinTech,EMEA,114347,Closed Lost,Webinar,"Budget is approved, but they need an API integration for Python.",2025-09-25
OPP-04030,Chavez Ltd,HealthTech,APAC,236995,Closed Won,LinkedIn,Customer requested a 15% discount; Finance approval pending.,2025-05-29
OPP-04031,"Patrick, Gonzalez and Ryan",Retail,EMEA,70499,Negotiation,Partner,"Budget is approved, but they need an API integration for Python.",2025-06-29
OPP-04032,"Wang, Gallagher and Hernandez",SaaS,EMEA,73040,Discovery,G2 Review,Technical gap: missing multi-currency support in the dashboard.,2025-06-18
OPP-04033,Frey-Scott,HealthTech,APAC,67765,Negotiation,Partner,Decision maker is hesitant about the pricing structure.,2025-07-31
OPP-04034,Lane and Sons,HealthTech,AMER,217684,Closed Won,G2 Review,Technical gap: missing multi-currency support in the dashboard.,2026-02-14
OPP-04035,"Ford, Sandoval and Garcia",AI,APAC,184202,Closed Lost,Webinar,They are comparing us to a local competitor in Berlin.,2025-09-30
OPP-04036,Griffith Group,AI,EMEA,155439,Proposal,Cold Outbound,"Great call, but internal restructuring might delay the sign-off.",2026-01-18
OPP-04037,Johnson-Boyd,FinTech,APAC,208148,Qualification,G2 Review,Decision maker is hesitant about the pricing structure.,2025-03-29
OPP-04038,Smith-Stewart,SaaS,AMER,189362,Qualification,Partner,They are comparing us to a local competitor in Berlin.,2025-04-03
OPP-04039,Kaiser-Gutierrez,Retail,APAC,40481,Discovery,G2 Review,"Great call, but internal restructuring might delay the sign-off.",2025-06-23
OPP-04040,Reid-Daniels,Logistics,AMER,128332,Qualification,Cold Outbound,Decision maker is hesitant about the pricing structure.,2025-07-19
OPP-04041,Obrien-Walker,AI,EMEA,40501,Proposal,Webinar,Customer requested a 15% discount; Finance approval pending.,2026-03-12
OPP-04042,Gilbert-Powers,FinTech,APAC,196083,Negotiation,G2 Review,They are comparing us to a local competitor in Berlin.,2025-09-02
OPP-04043,Rivers Ltd,HealthTech,AMER,181069,Closed Lost,Cold Outbound,"Great call, but internal restructuring might delay the sign-off.",2025-10-06
OPP-04044,Clark-Gross,FinTech,AMER,226988,Proposal,Webinar,"Great call, but internal restructuring might delay the sign-off.",2026-02-15
OPP-04045,Ward-Jackson,AI,AMER,30883,Proposal,LinkedIn,Customer requested a 15% discount; Finance approval pending.,2026-03-11
OPP-04046,Eaton Inc,HealthTech,APAC,100329,Closed Lost,Partner,Decision maker is hesitant about the pricing structure.,2025-04-15
OPP-04047,Warren LLC,Retail,EMEA,96583,Proposal,LinkedIn,Decision maker is hesitant about the pricing structure.,2025-04-02
OPP-04048,Williams-Winters,Logistics,AMER,113060,Closed Lost,G2 Review,"Highly motivated, looking to close by the end of Q3.",2025-12-07
OPP-04049,"Santos, Jones and Davis",Logistics,EMEA,216802,Proposal,Webinar,"Budget is approved, but they need an API integration for Python.",2026-02-18
OPP-04050,Mercado LLC,FinTech,APAC,135955,Closed Lost,Cold Outbound,Customer requested a 15% discount; Finance approval pending.,2025-05-20
OPP-04051,Smith-Johnston,SaaS,APAC,122515,Discovery,Partner,They are comparing us to a local competitor in Berlin.,2025-07-01
OPP-04052,Cook Inc,HealthTech,EMEA,205827,Discovery,Cold Outbound,Decision maker is hesitant about the pricing structure.,2025-11-01
OPP-04053,"Turner, Williams and Rivera",Logistics,APAC,129197,Discovery,Partner,"Budget is approved, but they need an API integration for Python.",2025-05-01
OPP-04054,"Snyder, Vega and Harper",AI,APAC,205894,Closed Lost,LinkedIn,"Highly motivated, looking to close by the end of Q3.",2025-08-29
OPP-04055,Young PLC,HealthTech,AMER,245613,Negotiation,Webinar,"Great call, but internal restructuring might delay the sign-off.",2025-07-10
OPP-04056,Rose PLC,Logistics,AMER,145460,Closed Won,Partner,Technical gap: missing multi-currency support in the dashboard.,2025-03-25
OPP-04057,Douglas PLC,Logistics,AMER,102363,Negotiation,LinkedIn,Technical gap: missing multi-currency support in the dashboard.,2025-11-03
OPP-04058,"Jones, Roach and Ellis",AI,AMER,101727,Discovery,Partner,Technical gap: missing multi-currency support in the dashboard.,2025-07-13
OPP-04059,Webster LLC,FinTech,APAC,31994,Qualification,Cold Outbound,"Budget is approved, but they need an API integration for Python.",2025-07-08
OPP-04060,Taylor Group,SaaS,EMEA,202786,Proposal,LinkedIn,"Highly motivated, looking to close by the end of Q3.",2025-04-23
OPP-04061,Cox and Sons,AI,APAC,150211,Closed Won,LinkedIn,Technical gap: missing multi-currency support in the dashboard.,2025-08-07
OPP-04062,Webster Inc,HealthTech,EMEA,170290,Discovery,LinkedIn,Technical gap: missing multi-currency support in the dashboard.,2025-12-02
OPP-04063,Morris-Garcia,HealthTech,AMER,127748,Discovery,G2 Review,"Great call, but internal restructuring might delay the sign-off.",2025-04-16
OPP-04064,"Bradford, Powell and Jordan",HealthTech,APAC,127463,Closed Lost,Webinar,"Highly motivated, looking to close by the end of Q3.",2025-04-23
OPP-04065,Reid LLC,SaaS,EMEA,173700,Proposal,LinkedIn,Technical gap: missing multi-currency support in the dashboard.,2025-06-30
OPP-04066,"Harding, Reeves and Payne",SaaS,APAC,126010,Closed Won,G2 Review,Customer requested a 15% discount; Finance approval pending.,2025-03-14
OPP-04067,"Walker, Reynolds and Cooper",Retail,APAC,152321,Qualification,G2 Review,Technical gap: missing multi-currency support in the dashboard.,2025-11-08
OPP-04068,West Group,AI,EMEA,131140,Closed Won,G2 Review,Customer requested a 15% discount; Finance approval pending.,2025-08-14
OPP-04069,Taylor-Klein,FinTech,EMEA,151544,Closed Won,Webinar,"Great call, but internal restructuring might delay the sign-off.",2025-11-25
OPP-04070,Rodriguez-Perez,Logistics,AMER,242634,Qualification,LinkedIn,Customer requested a 15% discount; Finance approval pending.,2025-08-11
OPP-04071,Johnson Ltd,Retail,APAC,29034,Discovery,Webinar,"Budget is approved, but they need an API integration for Python.",2025-08-06
OPP-04072,Sanford-Merritt,Logistics,AMER,62546,Negotiation,LinkedIn,"Highly motivated, looking to close by the end of Q3.",2025-10-10
OPP-04073,Wilkinson PLC,AI,AMER,42680,Negotiation,G2 Review,Customer requested a 15% discount; Finance approval pending.,2025-11-24
OPP-04074,Bartlett Group,AI,AMER,15632,Closed Won,Webinar,Decision maker is hesitant about the pricing structure.,2025-04-25
OPP-04075,Russell Ltd,SaaS,EMEA,206776,Qualification,G2 Review,Decision maker is hesitant about the pricing structure.,2025-05-07
OPP-04076,Garcia Ltd,Retail,EMEA,164604,Qualification,G2 Review,"Budget is approved, but they need an API integration for Python.",2025-11-02
OPP-04077,Ryan Group,Logistics,AMER,37277,Proposal,Cold Outbound,"Great call, but internal restructuring might delay the sign-off.",2026-03-05
OPP-04078,Bender Group,HealthTech,AMER,228285,Negotiation,Webinar,They are comparing us to a local competitor in Berlin.,2025-10-10
OPP-04079,Bailey-Black,Logistics,APAC,203108,Negotiation,Webinar,Technical gap: missing multi-currency support in the dashboard.,2025-09-16
OPP-04080,Smith Group,AI,AMER,228980,Negotiation,LinkedIn,They are comparing us to a local competitor in Berlin.,2025-08-09
OPP-04081,Wilson-Terry,AI,EMEA,167276,Closed Won,Cold Outbound,"Budget is approved, but they need an API integration for Python.",2026-01-13
OPP-04082,Torres Group,Retail,EMEA,39066,Negotiation,LinkedIn,"Great call, but internal restructuring might delay the sign-off.",2026-01-18
OPP-04083,Williams-Nichols,Retail,EMEA,171897,Closed Won,Partner,Customer requested a 15% discount; Finance approval pending.,2025-10-30
OPP-04084,Henderson-Perez,HealthTech,AMER,61499,Closed Won,Webinar,Decision maker is hesitant about the pricing structure.,2025-12-21
OPP-04085,Cummings-Holt,HealthTech,AMER,48757,Proposal,Cold Outbound,They are comparing us to a local competitor in Berlin.,2025-10-12
OPP-04086,"Nash, Wright and Parker",HealthTech,APAC,167745,Negotiation,Cold Outbound,"Great call, but internal restructuring might delay the sign-off.",2025-11-10
OPP-04087,Gordon-Diaz,HealthTech,AMER,148925,Proposal,Partner,Decision maker is hesitant about the pricing structure.,2025-04-26
OPP-04088,Russell-Decker,AI,AMER,30001,Qualification,Partner,Decision maker is hesitant about the pricing structure.,2025-10-01
OPP-04089,"Maddox, Horton and Richmond",Retail,AMER,92993,Negotiation,Partner,Decision maker is hesitant about the pricing structure.,2025-05-29
OPP-04090,Gonzalez Group,AI,AMER,74641,Closed Won,G2 Review,"Highly motivated, looking to close by the end of Q3.",2026-03-12
OPP-04091,"Simpson, Evans and Owen",SaaS,AMER,18853,Negotiation,Webinar,Decision maker is hesitant about the pricing structure.,2025-03-27
OPP-04092,Mccarthy-Delgado,FinTech,AMER,158536,Closed Lost,LinkedIn,Customer requested a 15% discount; Finance approval pending.,2025-03-24
OPP-04093,Graham-Smith,FinTech,APAC,195627,Negotiation,G2 Review,"Highly motivated, looking to close by the end of Q3.",2026-01-09
OPP-04094,Simmons LLC,FinTech,AMER,157948,Qualification,Partner,"Highly motivated, looking to close by the end of Q3.",2026-01-16
OPP-04095,Johnson PLC,Logistics,AMER,218488,Qualification,Webinar,Decision maker is hesitant about the pricing structure.,2025-12-10
OPP-04096,Cooper Ltd,FinTech,EMEA,25987,Closed Lost,Partner,Decision maker is hesitant about the pricing structure.,2025-12-13
OPP-04097,Phillips-Johnson,FinTech,AMER,230333,Qualification,Cold Outbound,Technical gap: missing multi-currency support in the dashboard.,2025-06-21
OPP-04098,Moore-Abbott,AI,EMEA,45512,Discovery,G2 Review,They are comparing us to a local competitor in Berlin.,2025-08-22
OPP-04099,Morrison-Wiley,HealthTech,APAC,67357,Closed Lost,Webinar,Customer requested a 15% discount; Finance approval pending.,2026-02-05
OPP-04100,Smith Ltd,HealthTech,AMER,37291,Discovery,LinkedIn,They are comparing us to a local competitor in Berlin.,2025-11-20
OPP-04101,Clayton Inc,AI,EMEA,234377,Closed Lost,G2 Review,"Highly motivated, looking to close by the end of Q3.",2026-03-05
OPP-04102,Young Inc,FinTech,APAC,43644,Closed Won,Webinar,They are comparing us to a local competitor in Berlin.,2025-11-28
OPP-04103,Garcia Inc,FinTech,EMEA,215145,Closed Lost,G2 Review,They are comparing us to a local competitor in Berlin.,2025-08-05
OPP-04104,Howell-Bolton,AI,APAC,129491,Closed Lost,LinkedIn,"Budget is approved, but they need an API integration for Python.",2025-05-23
OPP-04105,Jimenez-Harrington,AI,AMER,113981,Proposal,Cold Outbound,"Budget is approved, but they need an API integration for Python.",2026-03-13
OPP-04106,"Carlson, Moran and Taylor",FinTech,AMER,85099,Negotiation,G2 Review,"Great call, but internal restructuring might delay the sign-off.",2025-08-04
OPP-04107,Rhodes-Hicks,Logistics,APAC,236563,Proposal,LinkedIn,Decision maker is hesitant about the pricing structure.,2025-12-14
OPP-04108,"Carter, Beck and Petty",FinTech,EMEA,118795,Negotiation,G2 Review,"Highly motivated, looking to close by the end of Q3.",2026-03-03
OPP-04109,Santos-Bradshaw,FinTech,APAC,37376,Negotiation,LinkedIn,Customer requested a 15% discount; Finance approval pending.,2025-10-05
OPP-04110,"Chapman, Kerr and Velez",SaaS,EMEA,135827,Proposal,Webinar,Decision maker is hesitant about the pricing structure.,2025-08-16
OPP-04111,Wilson Ltd,Logistics,EMEA,65022,Closed Lost,Cold Outbound,"Great call, but internal restructuring might delay the sign-off.",2025-07-13
OPP-04112,"Bartlett, White and Brown",SaaS,AMER,60631,Discovery,G2 Review,"Budget is approved, but they need an API integration for Python.",2025-11-24
OPP-04113,George-Tate,SaaS,EMEA,204540,Proposal,LinkedIn,Customer requested a 15% discount; Finance approval pending.,2025-07-27
OPP-04114,Wilkerson Inc,Retail,AMER,216986,Negotiation,Partner,Customer requested a 15% discount; Finance approval pending.,2025-08-06
OPP-04115,"Rivera, Pratt and Rogers",Retail,APAC,20894,Negotiation,G2 Review,Technical gap: missing multi-currency support in the dashboard.,2026-02-20
OPP-04116,Ramirez LLC,Retail,APAC,41997,Closed Won,Cold Outbound,Customer requested a 15% discount; Finance approval pending.,2025-11-20
OPP-04117,Salazar-Spencer,HealthTech,AMER,203414,Closed Won,Webinar,"Budget is approved, but they need an API integration for Python.",2025-05-26
OPP-04118,Cook Inc,AI,APAC,135660,Proposal,Cold Outbound,"Highly motivated, looking to close by the end of Q3.",2025-05-12
OPP-04119,Beck-Wilkerson,SaaS,AMER,56972,Closed Won,G2 Review,"Great call, but internal restructuring might delay the sign-off.",2026-01-13
OPP-04120,"Mason, Clements and Hardin",FinTech,AMER,215611,Qualification,Cold Outbound,"Great call, but internal restructuring might delay the sign-off.",2025-09-02
OPP-04121,"Dalton, Jones and Clay",Retail,APAC,53966,Closed Lost,Webinar,"Highly motivated, looking to close by the end of Q3.",2025-09-10
OPP-04122,"Bradley, Perkins and Nelson",Retail,EMEA,39204,Negotiation,LinkedIn,Decision maker is hesitant about the pricing structure.,2025-08-02
OPP-04123,Brown Group,FinTech,EMEA,135750,Negotiation,Cold Outbound,Customer requested a 15% discount; Finance approval pending.,2025-03-25
OPP-04124,"Grant, Spears and Simpson",FinTech,AMER,168921,Proposal,Webinar,"Highly motivated, looking to close by the end of Q3.",2025-09-14
OPP-04125,Gardner-Hernandez,AI,AMER,89847,Closed Won,Partner,"Great call, but internal restructuring might delay the sign-off.",2026-03-01
OPP-04126,Wheeler-Mcdaniel,FinTech,EMEA,22673,Negotiation,Partner,Decision maker is hesitant about the pricing structure.,2025-03-28
OPP-04127,Roberts-Johnson,AI,AMER,193266,Closed Lost,Webinar,"Budget is approved, but they need an API integration for Python.",2025-03-18
OPP-04128,Santana-Wood,SaaS,APAC,216500,Proposal,Cold Outbound,Customer requested a 15% discount; Finance approval pending.,2025-10-12
OPP-04129,Marsh-Hall,FinTech,EMEA,218236,Closed Won,Partner,"Great call, but internal restructuring might delay the sign-off.",2025-10-08
OPP-04130,Henry Group,FinTech,APAC,235075,Proposal,Partner,"Great call, but internal restructuring might delay the sign-off.",2026-02-09
OPP-04131,Smith-Archer,Logistics,EMEA,231821,Closed Lost,Cold Outbound,"Budget is approved, but they need an API integration for Python.",2026-01-23
OPP-04132,Patterson-White,HealthTech,AMER,60863,Negotiation,LinkedIn,"Great call, but internal restructuring might delay the sign-off.",2025-03-30
OPP-04133,Combs Inc,AI,APAC,124629,Discovery,Cold Outbound,Decision maker is hesitant about the pricing structure.,2026-01-17
OPP-04134,Flores-Hernandez,SaaS,EMEA,54685,Negotiation,Webinar,Decision maker is hesitant about the pricing structure.,2026-01-25
OPP-04135,Bean-Brown,FinTech,APAC,22788,Negotiation,Cold Outbound,"Budget is approved, but they need an API integration for Python.",2025-12-14
OPP-04136,Rogers Ltd,Retail,AMER,243621,Proposal,Partner,"Great call, but internal restructuring might delay the sign-off.",2026-01-19
OPP-04137,Holden LLC,AI,EMEA,127032,Proposal,Cold Outbound,Customer requested a 15% discount; Finance approval pending.,2025-08-09
OPP-04138,Rodriguez PLC,AI,APAC,218117,Closed Won,LinkedIn,Decision maker is hesitant about the pricing structure.,2025-04-20
OPP-04139,Thornton-Alexander,HealthTech,AMER,183799,Qualification,G2 Review,They are comparing us to a local competitor in Berlin.,2025-04-19
OPP-04140,Anderson and Sons,FinTech,APAC,84694,Discovery,Partner,"Budget is approved, but they need an API integration for Python.",2025-07-22
OPP-04141,Aguirre-Baxter,Logistics,APAC,191989,Negotiation,Partner,They are comparing us to a local competitor in Berlin.,2025-12-05
OPP-04142,Rhodes Ltd,HealthTech,EMEA,215666,Closed Won,LinkedIn,Technical gap: missing multi-currency support in the dashboard.,2025-07-14
OPP-04143,Powell-Lin,Logistics,APAC,114391,Qualification,LinkedIn,"Highly motivated, looking to close by the end of Q3.",2025-07-26
OPP-04144,Smith-Swanson,SaaS,AMER,65372,Qualification,LinkedIn,Customer requested a 15% discount; Finance approval pending.,2025-11-17
OPP-04145,"Harris, Meadows and Brewer",FinTech,APAC,20781,Qualification,Cold Outbound,Customer requested a 15% discount; Finance approval pending.,2025-07-17
OPP-04146,Bailey PLC,Retail,APAC,169172,Closed Won,Webinar,"Budget is approved, but they need an API integration for Python.",2025-10-21
OPP-04147,"Dixon, Pope and Manning",Retail,APAC,178957,Negotiation,Partner,They are comparing us to a local competitor in Berlin.,2025-09-19
OPP-04148,"White, Warner and Dudley",AI,EMEA,226280,Qualification,G2 Review,"Highly motivated, looking to close by the end of Q3.",2025-06-05
OPP-04149,"Knox, Green and Baker",Retail,AMER,230120,Qualification,LinkedIn,"Budget is approved, but they need an API integration for Python.",2025-09-24
OPP-04150,Adams and Sons,SaaS,AMER,78119,Negotiation,LinkedIn,Decision maker is hesitant about the pricing structure.,2026-01-17
OPP-04151,Roberts-Lewis,SaaS,AMER,199340,Closed Won,Cold Outbound,"Budget is approved, but they need an API integration for Python.",2025-06-09
OPP-04152,Frazier Inc,SaaS,EMEA,97251,Qualification,Cold Outbound,Technical gap: missing multi-currency support in the dashboard.,2025-09-28
OPP-04153,Marshall-Robinson,Logistics,AMER,170384,Proposal,Webinar,"Great call, but internal restructuring might delay the sign-off.",2026-03-08
OPP-04154,"Smith, Gates and Roach",FinTech,APAC,144707,Discovery,Partner,Customer requested a 15% discount; Finance approval pending.,2025-11-02
OPP-04155,"Hogan, Long and Cruz",FinTech,APAC,244372,Negotiation,LinkedIn,"Budget is approved, but they need an API integration for Python.",2026-02-08
OPP-04156,Hall PLC,Retail,AMER,206153,Discovery,LinkedIn,Technical gap: missing multi-currency support in the dashboard.,2025-11-07
OPP-04157,"Adkins, Dalton and Hunt",Logistics,APAC,62721,Closed Lost,Webinar,"Highly motivated, looking to close by the end of Q3.",2026-02-27
OPP-04158,Davis LLC,AI,AMER,119230,Closed Lost,Partner,Customer requested a 15% discount; Finance approval pending.,2025-12-05
OPP-04159,"Ray, Owens and Thomas",SaaS,EMEA,53389,Closed Won,Webinar,"Budget is approved, but they need an API integration for Python.",2026-02-09
OPP-04160,"Cox, Martinez and Walker",Logistics,AMER,18924,Proposal,Webinar,"Great call, but internal restructuring might delay the sign-off.",2026-02-24
OPP-04161,Sanders-Simmons,SaaS,AMER,216165,Discovery,G2 Review,Customer requested a 15% discount; Finance approval pending.,2025-06-28
OPP-04162,Thompson-Hurst,AI,APAC,167883,Discovery,LinkedIn,Decision maker is hesitant about the pricing structure.,2026-03-01
OPP-04163,Smith Inc,Logistics,APAC,60859,Negotiation,G2 Review,Technical gap: missing multi-currency support in the dashboard.,2025-06-18
OPP-04164,"Horton, Neal and Wang",SaaS,EMEA,92388,Closed Won,Cold Outbound,Customer requested a 15% discount; Finance approval pending.,2025-10-05
OPP-04165,Green-Beard,FinTech,EMEA,242452,Closed Lost,LinkedIn,Technical gap: missing multi-currency support in the dashboard.,2026-02-05
OPP-04166,Ortiz Ltd,HealthTech,APAC,37905,Discovery,Partner,Customer requested a 15% discount; Finance approval pending.,2026-02-11
OPP-04167,Taylor-Gregory,SaaS,EMEA,194335,Qualification,Partner,"Highly motivated, looking to close by the end of Q3.",2025-12-11
OPP-04168,Banks PLC,FinTech,APAC,98072,Proposal,Webinar,Customer requested a 15% discount; Finance approval pending.,2025-11-12
OPP-04169,"Wright, Acevedo and Lara",AI,APAC,106156,Closed Won,Webinar,Decision maker is hesitant about the pricing structure.,2025-10-29
OPP-04170,Clark-Bell,HealthTech,AMER,215661,Qualification,LinkedIn,"Budget is approved, but they need an API integration for Python.",2026-01-30
OPP-04171,"Deleon, Tucker and Davis",FinTech,AMER,97045,Closed Won,Partner,"Great call, but internal restructuring might delay the sign-off.",2025-08-20
OPP-04172,Lamb-Williams,FinTech,APAC,190247,Closed Won,LinkedIn,Decision maker is hesitant about the pricing structure.,2026-01-02
OPP-04173,Macdonald Inc,Logistics,EMEA,16758,Closed Lost,Cold Outbound,Technical gap: missing multi-currency support in the dashboard.,2025-06-09
OPP-04174,Rodriguez-Poole,Logistics,EMEA,122994,Discovery,G2 Review,"Great call, but internal restructuring might delay the sign-off.",2025-12-17
OPP-04175,Gray-Thomas,Retail,EMEA,191821,Closed Lost,Cold Outbound,"Great call, but internal restructuring might delay the sign-off.",2025-10-14
OPP-04176,Bailey-James,FinTech,EMEA,98850,Qualification,G2 Review,Decision maker is hesitant about the pricing structure.,2026-03-14
OPP-04177,Curtis and Sons,Logistics,AMER,244471,Negotiation,Cold Outbound,"Budget is approved, but they need an API integration for Python.",2025-09-15
OPP-04178,"Cook, Wagner and Anderson",AI,AMER,129897,Qualification,Partner,Customer requested a 15% discount; Finance approval pending.,2025-06-14
OPP-04179,"Francis, Wilcox and Gilbert",SaaS,EMEA,48860,Discovery,Cold Outbound,"Budget is approved, but they need an API integration for Python.",2025-07-25
OPP-04180,Wagner Ltd,Retail,AMER,210114,Qualification,G2 Review,Customer requested a 15% discount; Finance approval pending.,2025-08-30
OPP-04181,Farmer-Hill,AI,APAC,201339,Negotiation,Cold Outbound,Decision maker is hesitant about the pricing structure.,2025-11-23
OPP-04182,"Moore, Hawkins and White",Retail,AMER,130347,Closed Won,Webinar,Decision maker is hesitant about the pricing structure.,2025-06-22
OPP-04183,Olson-Lee,FinTech,APAC,153768,Discovery,Cold Outbound,Customer requested a 15% discount; Finance approval pending.,2026-01-20
OPP-04184,Cook Group,HealthTech,EMEA,226247,Qualification,Cold Outbound,Customer requested a 15% discount; Finance approval pending.,2026-01-17
OPP-04185,Johnson-Scott,AI,AMER,23760,Qualification,Webinar,"Budget is approved, but they need an API integration for Python.",2025-05-12
OPP-04186,Cunningham LLC,Retail,AMER,111755,Negotiation,LinkedIn,Customer requested a 15% discount; Finance approval pending.,2025-10-08
OPP-04187,Jackson-Wood,SaaS,AMER,165614,Closed Lost,Webinar,Customer requested a 15% discount; Finance approval pending.,2025-07-05
OPP-04188,Romero PLC,FinTech,EMEA,208980,Discovery,Cold Outbound,"Great call, but internal restructuring might delay the sign-off.",2025-10-05
OPP-04189,Brown-Thompson,SaaS,APAC,151643,Discovery,Partner,Decision maker is hesitant about the pricing structure.,2025-04-14
OPP-04190,"Patterson, Thomas and Casey",HealthTech,AMER,102138,Qualification,Cold Outbound,They are comparing us to a local competitor in Berlin.,2026-03-12
OPP-04191,Sanders-Bailey,Logistics,APAC,173912,Closed Lost,G2 Review,"Highly motivated, looking to close by the end of Q3.",2025-11-15
OPP-04192,Smith-Erickson,Logistics,AMER,88227,Qualification,G2 Review,Decision maker is hesitant about the pricing structure.,2026-03-07
OPP-04193,"Hale, Henry and Russell",AI,AMER,205784,Proposal,Webinar,Customer requested a 15% discount; Finance approval pending.,2025-05-29
OPP-04194,Young-Cox,FinTech,AMER,179514,Negotiation,Cold Outbound,"Budget is approved, but they need an API integration for Python.",2025-06-12
OPP-04195,Washington PLC,SaaS,APAC,80301,Closed Won,Cold Outbound,"Great call, but internal restructuring might delay the sign-off.",2026-02-11
OPP-04196,Poole Inc,FinTech,AMER,111296,Qualification,LinkedIn,Customer requested a 15% discount; Finance approval pending.,2025-10-30
OPP-04197,"Jackson, Lee and Guzman",Retail,EMEA,60853,Discovery,Partner,"Great call, but internal restructuring might delay the sign-off.",2025-04-03
OPP-04198,Hodges-Bradford,FinTech,APAC,39194,Discovery,G2 Review,Customer requested a 15% discount; Finance approval pending.,2025-05-13
OPP-04199,Villarreal-Scott,HealthTech,EMEA,179872,Discovery,Cold Outbound,Customer requested a 15% discount; Finance approval pending.,2025-08-22
OPP-04200,Dixon Group,SaaS,APAC,182681,Closed Won,Webinar,"Highly motivated, looking to close by the end of Q3.",2025-10-02
OPP-04201,"Crawford, Roman and Ferguson",AI,AMER,172863,Discovery,LinkedIn,They are comparing us to a local competitor in Berlin.,2026-03-02
OPP-04202,Roberts Group,Retail,EMEA,145293,Closed Lost,G2 Review,Technical gap: missing multi-currency support in the dashboard.,2026-02-23
OPP-04203,"Edwards, Sanchez and Avila",HealthTech,APAC,206911,Closed Won,Partner,Technical gap: missing multi-currency support in the dashboard.,2025-03-23
OPP-04204,Powers Ltd,SaaS,APAC,53094,Closed Won,LinkedIn,"Highly motivated, looking to close by the end of Q3.",2025-03-29
OPP-04205,Sherman-Cunningham,SaaS,AMER,125336,Closed Won,Webinar,They are comparing us to a local competitor in Berlin.,2025-08-08
OPP-04206,Edwards LLC,SaaS,APAC,186240,Discovery,LinkedIn,"Great call, but internal restructuring might delay the sign-off.",2025-04-16
OPP-04207,Hernandez-King,SaaS,EMEA,16528,Closed Won,LinkedIn,"Great call, but internal restructuring might delay the sign-off.",2025-10-29
OPP-04208,"Alvarez, Hartman and Boyd",AI,APAC,72276,Closed Won,Cold Outbound,Technical gap: missing multi-currency support in the dashboard.,2025-04-16
OPP-04209,"Day, Curtis and Weaver",Logistics,EMEA,105042,Discovery,Webinar,"Highly motivated, looking to close by the end of Q3.",2025-08-01
OPP-04210,"Campbell, Williams and Green",AI,EMEA,196117,Negotiation,G2 Review,Decision maker is hesitant about the pricing structure.,2025-10-24
OPP-04211,Gomez Group,AI,EMEA,110204,Proposal,LinkedIn,They are comparing us to a local competitor in Berlin.,2025-12-13
OPP-04212,"Webster, Harrison and Meyer",Retail,APAC,122270,Closed Lost,Cold Outbound,"Great call, but internal restructuring might delay the sign-off.",2025-04-23
OPP-04213,"Fischer, Lopez and Parker",SaaS,APAC,108068,Qualification,G2 Review,Technical gap: missing multi-currency support in the dashboard.,2025-08-25
OPP-04214,"Humphrey, Miller and Anthony",SaaS,AMER,61761,Negotiation,Partner,"Great call, but internal restructuring might delay the sign-off.",2025-08-29
OPP-04215,Wallace Ltd,AI,APAC,232190,Closed Won,G2 Review,Decision maker is hesitant about the pricing structure.,2025-10-13
OPP-04216,"Jackson, Dorsey and Cowan",AI,APAC,62191,Closed Won,Cold Outbound,"Great call, but internal restructuring might delay the sign-off.",2025-06-06
OPP-04217,Hamilton Group,Retail,APAC,123545,Proposal,G2 Review,They are comparing us to a local competitor in Berlin.,2025-04-09
OPP-04218,Peck PLC,Logistics,APAC,83746,Negotiation,Webinar,"Highly motivated, looking to close by the end of Q3.",2025-11-17
OPP-04219,Schmitt and Sons,FinTech,APAC,120993,Discovery,LinkedIn,They are comparing us to a local competitor in Berlin.,2025-03-19
OPP-04220,Bartlett-Hayes,FinTech,EMEA,44863,Discovery,Partner,"Highly motivated, looking to close by the end of Q3.",2025-04-08
OPP-04221,"Perry, Cummings and Sheppard",Logistics,APAC,107748,Discovery,Cold Outbound,"Great call, but internal restructuring might delay the sign-off.",2025-04-04
